GDSC_Cell.line.name	LabCellLineID	GDSC_tissue_unified	MT.ND6	MT.CO2	MT.CYB	MT.ND2	MT.ND5	MT.CO1	MT.ND3	MT.ND4	MT.ND1	MT.ATP6	MT.CO3	MT.ND4L	MT.ATP8	MT.RNR1	MT.RNR2	mut_high	mut_high_mod	mut_trns	mut_rnrs	mut_atp6s	mut_atp8s	mut_cox1s	mut_cox2s	mut_cox3s	mut_cytbs	mut_nd1s	mut_nd2s	mut_nd3s	mut_nd4s	mut_nd4Ls	mut_nd5s	mut_nd6s	mut_atp6_atp8s	mut_cox1_2_3s	mut_ndxs	mut_chrs	CPI-613 Drug Response
A375	17	SKIN	10.8319405603359	13.0759470469734	11.2021238238305	11.6728672764338	10.2918613695852	12.6008653385249	12.5624093931514	12.3958018713897	10.1670417415053	13.0680056785528	12.9363802918832	12.8575728474766	16.0238626206586	889.781	1005.61	0.0740740740740741	1	0.105067064083458	0.999457994579946	0.996766370250606	0.0401671697237056	0.17995444191344	0	0.173913043478261	1	1	0.99702380952381	1	0	0	0.999744180097212	0	0.996766370250606	0.17995444191344	1	1	0.30655737704918
A549	18	LUNG	11.6642694923189	14.5861360914805	12.5234884473038	13.1406540554065	11.1516508299734	14.5484607079459	13.1934791590236	13.3987436919382	12.6464687076566	14.0277332497528	14.795786019502	13.8022134158237	15.5406124082495	1217.57	9923.92	0.0427487015581302	1	0.997241033358415	1	0.992234169653525	0.3	0.383017997231195	0.555555555555556	0.14030612244898	0.999585148309479	1	0.966171617161716	0.15114709851552	0.176470588235294	0	0.999370012599748	0.998953974895398	0.992234169653525	0.555555555555556	1	0.999690976514215	NA
A673	19	BONE	11.6439463553971	14.6405273911523	12.2933279469564	12.6267585239529	10.9706811278769	14.0628050736686	12.7728094101607	12.9517946685303	11.7827116065246	13.8895990245284	14.0779005498415	12.9979733094276	15.5003750936982	1067.4	3704.54	0.0377358490566038	1	0.0645161290322581	1	0	0	0.218085106382979	0.153846153846154	0	1	0.151515151515152	0.08	0.25	0.0327868852459016	0.015748031496063	1	1	0	0.218085106382979	1	1	0.532786885245902
ACHN	20	KIDNEY	11.8144623030698	14.436451292287	12.149048462446	12.7743958649337	11.376179665721	14.0182001788132	13.1869498937447	13.3782948559119	12.5352510722543	14.0030786419286	14.3846488620524	13.6586577921261	16.2823826087708	1670.59	5575.55	0.999153080669066	1	0.999790224459828	0.999774926851227	0.999567474048443	0.333333333333333	0.145833333333333	0.0106971597196606	0.116847826086957	1	0.28125	0.153846153846154	0.999788045782111	0.111111111111111	0	0.999153080669066	0.117647058823529	0.999567474048443	0.145833333333333	0.999788045782111	1	0.823497267759563
ALL-SIL	21	HAEMATOPOIETIC_AND_LYMPHOID	12.0884570034862	13.9629863516466	12.5352267674784	12.9457364426138	11.7025190291533	13.1484448044045	13.1388957236523	12.775013492251	12.2321810576866	13.6265075827761	13.6541884730595	12.9353676610837	15.6201052486071	2225.53	2937.92	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0.571584699453552
AN3-CA	23	ENDOMETRIUM	11.9231788994938	14.4578297275077	12.7185970895529	12.5977965154292	10.9686667931952	13.7725207763148	12.7530077689452	13.748612176737	11.9673343488208	14.201281597698	14.0568070355806	13.8720976868079	15.6258229758157	889.537	8552.03	0.0117130307467057	0.999785867237687	0.0850467289719626	0.999757104687879	0.999785867237687	0	0.217194570135747	0.013262599469496	0.00831024930747922	0.999783362218371	0.10875	0.118743866535819	0.0976382488479263	0.999354838709677	0	0.117647058823529	0	0.999785867237687	0.217194570135747	0.999354838709677	1	0.0453551912568306
AsPC-1	24	PANCREAS	12.158357226049	14.595898485012	12.5327455269766	13.1031566483555	11.3589807965325	14.6139045440436	13.7078983162412	13.1021889745103	12.7463463608331	13.7482976928031	14.513480875979	13.4300604616941	15.9471574817742	1894.58	9598.87	0	1	0.0327868852459016	1	0	0.28	0	0.736842105263158	0.333333333333333	1	0.185185185185185	0.285714285714286	0	0.25	0.0273972602739726	0.088	0.595744680851064	0.28	0.736842105263158	0.595744680851064	1	0.860655737704918
AU565	25	BREAST	11.7262181593322	14.1279137392443	11.7002663068733	12.0531792327836	10.8931498199355	13.9352571492584	12.6666012737114	13.0872639265674	10.2798426935203	13.5197590928996	12.4304002791591	13.1966174938789	15.4045096137451	1944.03	2184.67	0.102564102564103	0.999786187727176	0.627776579685141	0.999760822769672	0.990566037735849	0	0.201166180758017	0.538461538461538	0.16403785488959	0.999786187727176	0.174418604651163	0.194915254237288	0.114817001180638	0.166666666666667	0	0.173854143147437	0	0.990566037735849	0.538461538461538	0.194915254237288	1	0.653551912568306
BFTC-909	30	KIDNEY	11.4265268484517	13.9842404252301	11.5452058274256	12.3206031376963	10.7685978821944	13.5806118949943	12.2363730266342	13.2114928981353	11.7038170783434	13.3746319862868	13.3198132227165	13.2233531600796	15.1466879938415	797.717	7380.78	0.00954979536152797	1	0.999752842313396	1	0.997633447278464	0	0.241803278688525	0.0217603117895421	0.157303370786517	1	0.107236268526591	0.999458434876794	0.999323257387774	0	0	0.125	0	0.997633447278464	0.241803278688525	0.999458434876794	1	0.469945355191257
BL-41	32	HAEMATOPOIETIC_AND_LYMPHOID	12.0060104325398	14.0512089409148	12.2467109131046	12.6506030222153	11.5071504361063	13.1698467281037	12.6154227346983	13.1882488389473	11.7785699935295	13.943064208162	14.0144564220424	13.2377776039514	15.9244413923392	620.226	1131.42	0.166666666666667	1	0	0	1	0.166666666666667	0.375	0	0	1	0	0	0	0	0	1	0	1	0.375	1	1	0.691256830601093
BT-20	34	BREAST	11.9831004898315	14.8103708001837	12.5908443169469	12.7164122261147	11.2566804658504	14.2740869056344	12.5976103161819	13.4530133544663	11.6822484718145	13.9611783496043	14.0615399585301	13.4744664641326	15.6985418986717	1171.74	4359.1	0.776373147340889	1	1	0.999770694794772	0.999232343909928	0.998919386211368	0.176223776223776	0.564882032667877	0.133333333333333	0.999792703150912	0.776373147340889	0.997817546922741	1	0.999145664246049	0	0.963511483150891	0	0.999232343909928	0.564882032667877	1	1	0.128415300546448
BT-474	35	BREAST	12.1851541874231	15.0662153534674	13.0371179251902	13.1250905393033	11.5765788227499	14.2526654324502	13.7560350234973	13.3449893446227	12.465668430554	14.0537562225621	14.6411485974112	13.733968609439	16.1722321565117	3311.68	7810.6	0.0476190476190476	1	0.999791840133222	0.999540441176471	0.995243757431629	0.105263157894737	0.138419369575148	0.00602409638554217	0.999792444997924	0.999569892473118	0.999738425320429	0.17728852838934	0.128058468382587	0.0526315789473684	0	1	0	0.995243757431629	0.999792444997924	1	1	0.214754098360656
BT-549	36	BREAST	11.6210445106815	13.8642828886638	12.3823808552328	12.1964177054852	11.1512068554997	13.7125270004398	12.5037015336962	12.7061722171304	11.606266396362	13.5643876960526	13.4730715143074	13.206312330764	15.3399891450018	1165.43	6409.28	0.04	1	0	1	0	0.181818181818182	0.202702702702703	0.230769230769231	0	1	0.707692307692308	0	0	0.290322580645161	0	0.04	0.0645161290322581	0.181818181818182	0.230769230769231	0.707692307692308	1	NA
BxPC-3	37	PANCREAS	12.0961550956643	14.1578205972136	12.1803754031282	11.4321242726416	11.3042372250171	13.6509395370186	12.6681537034999	12.8918786142437	10.777830634383	13.5068034377956	13.791366414695	12.8635087548785	15.5871622008407	1595.37	3027.72	0	1	0.181818181818182	1	0	0	0.166666666666667	0	1	1	0.307692307692308	0.2	0	0.838709677419355	0	0.32	0	0	1	0.838709677419355	1	0.986338797814208
C2BBe1	38	LARGE_INTESTINE	11.7591808063796	13.8033239190415	11.5735525193584	12.9297946955666	11.6237443451832	13.9950604670327	12.7236822732742	13.308481244644	12.5513237480148	13.5038257379958	14.202506491412	13.723020931812	15.5556975453343	515.081	3872.93	0.0869565217391304	1	0.15633423180593	1	0.998587570621469	0.285714285714286	0.217105263157895	0.999776186213071	0.226381461675579	1	1	0.283116883116883	0.999790444258173	1	0	0.998959417273673	0.136363636363636	0.998587570621469	0.999776186213071	1	1	NA
C3A	40	LIVER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0289855072463768	1	0	1	0.0625	0	0.303571428571429	0	0.133333333333333	1	1	0	0.09375	1	0	0.08	0	0.0625	0.303571428571429	1	1	0.781967213114754
CAL-12T	42	LUNG	11.8674331955784	14.6803595235137	12.1557353208509	12.6610432048227	11.2008373167765	13.5165618472112	12.3398221728508	13.0471580018587	11.831069678408	13.5378250592418	13.3682336113809	13.2742034117348	15.3417620316769	875.931	2527.4	0.0882352941176471	1	0.0512820512820513	1	0	0	0.222222222222222	0.0833333333333333	0.0714285714285714	1	0.1875	0	0.345454545454545	0.0689655172413793	0	0.0571428571428571	0.0882352941176471	0	0.222222222222222	0.345454545454545	1	0.187978142076503
CAL-27	43	HEAD_AND_NECK	12.2660251776743	15.3562456203622	13.2299753883212	13.2167610124754	11.7396540520258	14.9235131963084	13.9515579267926	14.2729942031351	12.0147876572731	14.5622424242211	15.0913527364401	14.6908164599005	16.5038257379958	1144.69	5239.36	0.0136319376825706	0.999559277214632	0.205555555555556	1	0.989956958393113	0.333333333333333	0.299405155320555	0.0056657223796034	0.272099447513812	0.999559277214632	0.122473246135553	0.279012345679012	0.190240889437925	0	0	0.999557326250553	0	0.989956958393113	0.299405155320555	0.999557326250553	1	0.384153005464481
CAL-78	44	BONE	10.3455161336969	12.6313817110388	10.3194463294072	10.765451868578	9.83341194755254	12.6521727535097	10.9777807723301	11.5967488319278	9.54161937654756	12.2089354133791	12.0252780100538	12.0987887728503	14.2644426002266	686.599	1106.17	0.166666666666667	1	0.166666666666667	1	0	0.142857142857143	0.276595744680851	0	0	1	0.14	0	1	0.166666666666667	0	1	0	0.142857142857143	0.276595744680851	1	1	0.242622950819672
CAL-85-1	45	BREAST	13.3362275894834	15.9076652726157	13.9696563268552	14.0795681163924	12.5137769348844	15.5140975968198	14.4900987548842	14.6315181318018	13.8771882574613	15.0225412034548	15.5074230190982	14.6908710092923	16.9198758795119	3343.69	17501.5	0.00617508172902288	0.999575731862537	0.999376169681847	0.999741468459152	0.99468085106383	0	0.221183800623053	0.105263157894737	0.180281690140845	0.999575731862537	0.185185185185185	0.193490054249548	0.0994940978077572	0.0869565217391304	0	0.00427831569466336	0	0.99468085106383	0.221183800623053	0.193490054249548	0.999703528016602	0.797814207650273
Calu-1	46	LUNG	11.3560117215028	13.567480801143	11.443254388004	12.4203550220891	10.5499771427718	12.7609901676264	12.3479534934303	13.003148934146	11.5720843683489	12.6798099463325	12.6195780776314	13.380461065089	14.2881451231534	515.041	2217.16	0.00667302192564347	1	1	1	0.993197278911565	0	0.313432835820896	0.00381970970206264	0.36875	1	0.135802469135802	0.255765199161426	0.161348314606742	0	0	0.00667302192564347	0	0.993197278911565	0.36875	0.255765199161426	1	NA
Calu-3	47	LUNG	13.3120320587449	15.9513302538644	13.7058483435089	13.8715202623291	12.4645712754981	15.1242828949666	14.8131298276853	14.7753016278703	12.9004517470918	15.1096266388587	14.9879745242962	15.0058438137567	16.8494173188418	2856.13	11301.2	0.0363636363636364	1	0	1	0	0.133333333333333	0.135135135135135	0	0.0363636363636364	1	0.108695652173913	0	0.222222222222222	0	0	0.0571428571428571	0	0.133333333333333	0.135135135135135	0.222222222222222	1	0.956284153005464
Calu-6	48	LUNG	12.6319273167083	15.3003168071334	12.9716513209696	13.0873633873371	11.7434038857342	14.2471116143216	12.8498741937956	14.0594289648538	12.3676058601874	14.4367115421372	14.6641694745606	14.0316150588358	16.0558119931398	2430.59	12915.1	0.00900900900900901	0.999789074035014	0.108454312553373	1	0.997347480106101	0	0.19811320754717	0.0882771713336497	0.998643761301989	0.999789074035014	0.125	0.197319434102755	0.119650900900901	0.4375	0	0.0352941176470588	0.0315442561205273	0.997347480106101	0.998643761301989	0.4375	1	0.771584699453552
CAMA-1	49	BREAST	12.225538845105	14.8121271553436	13.5105169405947	13.3583764803282	11.9321039983539	14.3919148289319	13.1799868193348	13.8475467768525	12.7115809426725	14.679535079214	14.4589832683801	14.2400459459191	16.1892454501145	1792	4402.96	0.141411967283685	1	1	1	0.994616419919246	0	0.229271809661139	0.00903732809430255	0.6	1	0.999790488162581	0.176375404530744	0.99978853880313	0.220183486238532	0	0.999295443870362	0	0.994616419919246	0.6	0.999790488162581	1	0.248633879781421
CAS-1	52	CENTRAL_NERVOUS_SYSTEM	12.892770472811	15.4409340355339	13.9951488214463	13.8305152069768	12.1877541405722	15.190326265179	14.5690248704076	14.2096818148719	12.7854729027878	14.9356254890934	15.2343309633334	14.4526273491019	17.1207137553491	3653	9537	0.037037037037037	0.999785729590744	0.999786780383795	1	0.985365853658537	0	0.153138652563808	0.111111111111111	0.09375	0.999785729590744	0.0689655172413793	0.125	0.173189252336449	0.0606060606060606	0	0.0512820512820513	0	0.985365853658537	0.153138652563808	0.173189252336449	0.999714285714286	0.76448087431694
CCK-81	53	LARGE_INTESTINE	11.8280174450389	14.9034111612386	12.2444827663304	13.9693865213423	11.1906889287682	13.5830827675029	14.4237724864297	13.7248335639336	13.2127547461262	14.025226093695	13.9486409964182	14.3394324959968	16.4741178531045	861.787	5660.45	0.0833333333333333	1	0.0338983050847458	1	0.98812351543943	0.172413793103448	1	0.166666666666667	0.0747663551401869	0.999793174767322	0.13953488372093	1	0	0.0833333333333333	0.999378367177787	0.999168053244592	0	0.98812351543943	1	1	1	0.747540983606557
CHL-1	54	SKIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	0	0	0	0	0.105263157894737	1	0.333333333333333	1	0	1	0	0	0	0	0.105263157894737	1	1	0.354098360655738
CHP-212	55	PERIPHERAL_NERVOUS_SYSTEM	11.727367428902	14.1760952140379	12.4629367538657	12.6677768383934	11.4589192069676	14.3385971195745	12.972567015755	12.840325535527	12.3569470894994	13.4424251933316	14.0385761027688	13.3046365238073	15.2302831840845	457.15	2817.49	0.0606060606060606	1	0.998527555742533	0.999760822769672	0.988913525498891	0	0.208994708994709	0.00343288705801579	0.999355946758265	1	0.0982142857142857	0.211453744493392	0.189431396786156	0.153846153846154	0	0.0909090909090909	0	0.988913525498891	0.999355946758265	0.211453744493392	1	0.287978142076503
COLO-201	59	LARGE_INTESTINE	12.0749776623012	14.3467214795899	12.4807144803347	12.6853620298084	11.4954053634883	13.9396710326149	12.7047682393626	12.9639978439607	12.1394234482327	13.6942490497546	13.8258531886244	13.0395017094184	15.5745048343425	969.155	2180.9	0.0216049382716049	0.999635701275046	0.999435506632797	1	0.992424242424242	0	0.999283667621776	0	0.0281124497991968	0.999635701275046	0.186046511627907	0.127853881278539	0.0860012554927809	0.999325387901956	0	0.0159640808181591	0	0.992424242424242	0.999283667621776	0.999325387901956	1	NA
COLO-205	60	LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.230769230769231	1	1	1	0	0	0.266666666666667	0	0.266666666666667	1	0	0	0.230769230769231	1	0	0.135135135135135	0	0	0.266666666666667	1	1	0.926229508196721
COLO-678	64	LARGE_INTESTINE	11.7525479058471	14.6057688614454	13.1326603771473	12.8268066557585	11.362053396853	13.9889509076016	13.3557640225472	13.4179843340683	12.7298543766582	13.784737073727	14.2525176077623	13.5883632871921	15.5151762243265	1160.41	3438.81	0.140625	1	0.241379310344828	1	0.454545454545455	0	0.196078431372549	0	0.35	1	0.461538461538462	0.55	0.140625	0.264705882352941	0	0.187096774193548	0	0.454545454545455	0.35	0.55	1	0.730601092896175
COLO-679	65	SKIN	10.1615098321741	14.885267389926	12.602791639851	13.6480204643446	10.3066313617125	13.7819743673893	13.5421854875022	13.9797824307031	11.9803895278987	14.0047471575468	14.186501176661	14.1316158483761	16.1368109241052	651.974	1698	0.113636363636364	1	1	1	0.117647058823529	0	0.0740740740740741	0.166666666666667	0	1	0.368421052631579	1	0	0.5	0	0.148936170212766	0	0.117647058823529	0.166666666666667	1	1	0.245901639344262
COLO-741	67	SKIN	11.2617423523829	15.1650247377713	13.1291541991369	13.0376670591587	10.8586804082883	14.3439490645337	14.2103669456326	13.7509162999781	11.7938877563147	14.0803178929571	14.1700815353806	14.1328210067796	16.5912301314959	1183.98	2906.89	0.0305084745762712	0.999737876802097	0.99910687704674	1	0.999642857142857	0.428571428571429	0.272848565710474	0.0144927536231884	0.999055043704229	0.999379780855902	0.194690265486726	0.999737876802097	0.167194928684628	0.409090909090909	0	0.0199170124481328	0.0169491525423729	0.999642857142857	0.999055043704229	0.999737876802097	1	NA
COR-L105	68	LUNG	12.0986572031148	14.8865063274795	12.9963499045698	13.4625022725973	11.3769935674525	14.427312844135	13.4704046770656	13.8937755247016	13.1700189238434	14.3068449308389	14.6856795857672	14.0455890392973	16.1163439612375	1267.62	6975.87	0.0465116279069767	1	0.0625	1	0.024390243902439	0.194444444444444	0.316151202749141	0.166666666666667	0.1	1	0.201117318435754	0.03125	1	0.0540540540540541	0.0273972602739726	0.0377358490566038	1	0.194444444444444	0.316151202749141	1	1	0.948087431693989
COR-L23	69	LUNG	11.6282176802234	14.7765872461636	12.2464140256193	12.3324282277437	10.8634893962107	14.0273012921937	12.8850290106785	13.4528846974866	11.9818169849532	13.3069161135225	13.0702719162909	13.7319553737719	15.7978641373337	1551.69	7243.08	0.133333333333333	0.999580184718724	1	1	0.995735607675906	0.05	0.133707865168539	0.00428204396231801	0.141676505312869	0.999580184718724	0.26	0.165781083953241	0.091138530566461	0.0555555555555556	0	0.999568221070812	0.0625	0.995735607675906	0.141676505312869	0.999568221070812	1	0.405464480874317
Daoy	72	CENTRAL_NERVOUS_SYSTEM	11.7107203514749	14.3626287816019	12.1317283724327	12.5188498287077	11.086534337997	13.9269445427987	13.2826396120317	13.0712779915121	11.3578268822108	13.5361257716003	14.1982148057882	13.6038581218428	15.2041508063938	689.328	2145.99	0.138888888888889	1	0.999174690508941	0.999763369616659	0.997950819672131	0.998201438848921	0.251231527093596	0	0.249457700650759	1	0.270833333333333	0.284287011807448	0.245153220762977	0.272727272727273	0	0.998257839721254	0.0833333333333333	0.998201438848921	0.251231527093596	0.998257839721254	1	0.923497267759563
DBTRG-05MG	73	CENTRAL_NERVOUS_SYSTEM	12.3806504537319	14.4144209817464	12.5021356426576	11.8112141175132	11.3431301833922	14.4823037823232	12.964485274483	12.8809800882752	11.3745504834645	13.7499741488458	13.9359937349102	13.1040089756557	15.7759960040342	1529.8	6173.47	0.0588235294117647	1	1	1	1	0	0.238095238095238	0.0714285714285714	1	1	0.195121951219512	0	0.328358208955224	0.0816326530612245	0	1	0	1	1	1	1	0.925136612021858
DEL	74	HAEMATOPOIETIC_AND_LYMPHOID	11.2265326130585	13.593157658103	11.9565213633331	12.4040771362412	10.4967539334459	12.7564103777827	12.0098286173681	12.8507728623133	11.2503576406251	13.0544686561955	12.9964028705076	13.0009682812804	15.1025498779383	1105.01	4867.49	0.2	1	0	1	0.136363636363636	0.25	0.338983050847458	0.166666666666667	0	1	1	0	0.25	0.2	0	0.08	0.111111111111111	0.25	0.338983050847458	1	1	0.265573770491803
Detroit562	75	HEAD_AND_NECK	13.063597314082	15.1676533486757	13.3546626234741	13.9082987900013	12.6375758331449	15.0856799188157	14.2850409218628	14.745516770076	14.1088511170402	14.48236681376	14.6561455040141	14.8924479493106	16.0492529745719	2108.04	13836.3	0.542483660130719	0.999339788732394	0.140977443609023	0.999261811023622	0.997347480106101	0	0.184357541899441	0.00778715120051914	0.142857142857143	0.999339788732394	0.542483660130719	0.165786694825766	0.0879052369077307	0.125	0	0	0.00751072961373391	0.997347480106101	0.184357541899441	0.542483660130719	0.999477124183006	0.13879781420765
DK-MG	76	CENTRAL_NERVOUS_SYSTEM	11.4520352735462	13.6997893183821	11.8375885147356	12.147586539821	11.0637321201969	13.6073303137496	12.9929383361658	12.8444900108485	12.0974725352379	12.9543235586218	13.3423525100878	13.2266078706232	15.186269026843	666.696	1734.91	0	1	0.928571428571429	1	0	0	0.36	0	0	1	0	0.125	0	0	0	0.0833333333333333	0.0689655172413793	0	0.36	0.125	1	0.70655737704918
