LabCellLineID	GDSC_Cell.line.name	mut_high	mut_high_mod	mut_trns	mut_rnrs	mut_atp6s	mut_atp8s	mut_cox1s	mut_cox2s	mut_cox3s	mut_cytbs	mut_nd1s	mut_nd2s	mut_nd3s	mut_nd4s	mut_nd4Ls	mut_nd5s	mut_nd6s	mut_atp6_atp8s	mut_cox1_2_3s	mut_ndxs	mut_chrs
19	A673	0.037735849	1	0.064516129	0.62295082	0	0	0.218085106	0.153846154	0	0	0.151515152	0	0.25	0.032786885	0.015748031	0.015873016	1	0	0.218085106	1	0.046511628
20	ACHN	0.105263158	0.28125	0.191980559	0.285714286	0.074074074	0.25	0.145833333	0.01069716	0.116847826	0.090909091	0.28125	0.153846154	0.136363636	0.111111111	0	0.133333333	0.117647059	0.25	0.145833333	0.28125	0.075
21	ALL-SIL	0	1	1	0	0	0	0	0	0	0	0.941176471	0	0	0	0	0	1	0	0	1	0
23	AN3-CA	0.011713031	0.999354839	0.085046729	0.154233871	0.072386059	0	0.21719457	0.013262599	0.008310249	0	0.10875	0.118743867	0.097638249	0.999354839	0	0.117647059	0	0.072386059	0.21719457	0.999354839	0.00621118
24	AsPC-1	0	0.736842105	0.032786885	0.62962963	0	0.28	0	0.736842105	0.333333333	0.02739726	0.185185185	0.285714286	0	0.25	0.02739726	0.088	0.595744681	0.28	0.736842105	0.595744681	0.181818182
25	AU565	0.102564103	0.538461538	0.074610245	0.198912775	0.085545723	0	0.201166181	0.538461538	0.164037855	0	0.174418605	0.194915254	0.114817001	0.166666667	0	0.173854143	0	0.085545723	0.538461538	0.194915254	0
28	BCPAP	0	1	0.142857143	0.5	0	0	0.289473684	0.105263158	0	0.105263158	0.125	1	0.25	0.15	0	0.133333333	0.111111111	0	0.289473684	1	0.095238095
30	BFTC-909	0.009549795	0.241803279	0.187654321	0.181179016	0.120171674	0	0.241803279	0.021760312	0.157303371	0.117647059	0.107236269	0.012987013	0.160469667	0	0	0.125	0	0.120171674	0.241803279	0.160469667	0.804470855
32	BL-41	0.166666667	0.375	0	0	0	0.166666667	0.375	0	0	0	0	0	0	0	0	0	0	0.166666667	0.375	0	0
34	BT-20	0.776373147	0.999232344	0.542596133	0.616663022	0.999232344	0	0.176223776	0.038028169	0.133333333	0.021276596	0.776373147	0.260721248	0.098338692	0.024390244	0	0.440193492	0	0.999232344	0.176223776	0.776373147	0.017647059
35	BT-474	0.047619048	0.851766068	0.066666667	0.14565678	0.058823529	0.105263158	0.13841937	0.006024096	0.119298246	0.040816327	0.851766068	0.177288528	0.128058468	0.052631579	0	0.026666667	0	0.105263158	0.13841937	0.851766068	0
36	BT-549	0.04	1	0	0.578947368	0	0.181818182	0.202702703	0.230769231	0	1	0.707692308	0	0	0.290322581	0	0.04	0.04	0.181818182	0.230769231	0.707692308	0.090909091
37	BxPC-3	0	0.838709677	0.181818182	0.181818182	0	0	0.166666667	0	0.166666667	0.272727273	0.307692308	0.2	0	0.838709677	0	0.32	0	0	0.166666667	0.838709677	0
38	C2BBe1	0.086956522	1	0.156334232	0.237550631	0	0.230769231	0.217105263	0.999776186	0.226381462	0	0.181818182	0.283116883	0.235990757	1	0	0.125	0.136363636	0.230769231	0.999776186	1	0
40	C3A	0.028985507	0.303571429	0	1	0.0625	0	0.303571429	0	0.133333333	0.066666667	0.230769231	0	0.09375	0.204081633	0	0.08	0	0.0625	0.303571429	0.230769231	1
42	CAL-12T	0.088235294	0.345454545	0.051282051	0.597402597	0	0	0.222222222	0.083333333	0.071428571	0.03125	0.1875	0	0.345454545	0.068965517	0	0.057142857	0.088235294	0	0.222222222	0.345454545	0.037037037
43	CAL-27	0.013631938	0.333333333	0.205555556	0.223783502	0.081597222	0.333333333	0.299405155	0.005665722	0.272099448	0	0.122473246	0.279012346	0.190240889	0	0	0.090909091	0	0.333333333	0.299405155	0.279012346	0
44	CAL-78	0.166666667	0.276595745	0.166666667	0.555555556	0	0.142857143	0.276595745	0	0	0.12	0.14	0	0.263888889	0.166666667	0	0.166666667	0	0.142857143	0.276595745	0.263888889	0.137931034
45	CAL-85-1	0.006175082	0.221183801	0.134210526	0.174907749	0.083185841	0	0.221183801	0.105263158	0.18028169	0.040816327	0.185185185	0.193490054	0.099494098	0.086956522	0	0.004278316	0	0.083185841	0.221183801	0.193490054	0.035714286
46	Calu-1	0.006673022	0.36875	0.214132762	0.998247919	0.021543986	0	0.313432836	0.00381971	0.36875	0	0.135802469	0.255765199	0.161348315	0	0	0.006673022	0	0.021543986	0.36875	0.255765199	0
47	Calu-3	0.036363636	0.222222222	0	0.4	0	0.090909091	0.135135135	0	0.036363636	0.047619048	0.108695652	0	0.222222222	0	0	0.057142857	0	0.090909091	0.135135135	0.222222222	0.052631579
48	Calu-6	0.009009009	0.998643761	0.108454313	1	0.012042148	0	0.198113208	0.088277171	0.998643761	0.05	0.125	0.197319434	0.119650901	0.4375	0	0.035294118	0	0.012042148	0.998643761	0.4375	0.1
49	CAMA-1	0.141411967	0.6	0.234632684	0.269230769	0.095188285	0	0.22927181	0.009037328	0.6	0.394909473	0.208333333	0.176375405	0.120114123	0.220183486	0	0.141411967	0	0.095188285	0.6	0.220183486	0.078125
51	Capan-2	0.0625	0.926829268	0	0.705882353	0	0.236842105	0.282608696	0.416666667	0.325	0.0625	0.2	0	0.926829268	0.142857143	0	0.115384615	0	0.236842105	0.416666667	0.926829268	0.139534884
52	CAS-1	0.037037037	0.173189252	0.068965517	1	0.007779773	0	0.153138653	0.111111111	0.09375	0.148148148	0.068965517	0.125	0.173189252	0.060606061	0	0.051282051	0	0.007779773	0.153138653	0.173189252	0.057142857
53	CCK-81	0.083333333	1	0.033898305	0.198727735	0.007857143	0.172413793	1	0.166666667	0.074766355	0.065260382	0.139534884	0.182776801	0	0.083333333	0.060606061	0.041666667	0	0.172413793	1	0.182776801	0.231232877
54	CHL-1	0	0.454545455	0	0.157894737	0	0	0	0	0.105263158	0.259259259	0.333333333	0.031746032	0	0.454545455	0	0	0	0	0.105263158	0.454545455	0.75
55	CHP-212	0.060606061	0.211453744	0.191358025	0.168401874	0.060457516	0	0.208994709	0	0.200589971	0	0.098214286	0.211453744	0.189431397	0.153846154	0	0.090909091	0	0.060457516	0.208994709	0.211453744	1
58	CMK	0	0.388888889	0.068965517	0.857142857	0.071428571	0	0.289473684	0.153846154	0	0	0.090909091	0	0	0.133333333	0	0.117647059	0.388888889	0.071428571	0.289473684	0.388888889	0.086956522
59	COLO-201	0.021604938	0.999325388	0.079822616	0.621190131	0.081132075	0	0.188996579	0	0.02811245	0.006979866	0.186046512	0.127853881	0.086001255	0.999325388	0	0.015964081	0	0.081132075	0.188996579	0.999325388	1
60	COLO-205	0.230769231	1	0.181818182	0	0	0	0.266666667	0	0.266666667	0	0	0	0.230769231	1	0	0.135135135	0	0	0.266666667	1	1
62	COLO-320-HSR	0.171428571	0.461538462	0	0.12	0	0	0.272727273	0	0.461538462	0.210526316	0.333333333	0.166666667	0.171428571	0.347826087	0	0.075471698	0	0	0.461538462	0.347826087	0.156862745
64	COLO-678	0.140625	0.55	0.24137931	0.344827586	0.454545455	0	0.196078431	0	0.35	0.14893617	0.461538462	0.55	0.140625	0.264705882	0	0.187096774	0	0.454545455	0.35	0.55	0.362068966
65	COLO-679	0.113636364	0.5	0	0.181818182	0.117647059	0	0.074074074	0.166666667	0	0.166666667	0.368421053	0	0	0.5	0	0.14893617	0	0.117647059	0.166666667	0.5	0.222222222
67	COLO-741	0.030508475	0.409090909	0.884177639	0.23676542	0.009353079	0.009070295	0.272848566	0.014492754	0.116883117	0.037890045	0.194690265	0.228671329	0.167194929	0.409090909	0	0.019917012	0.016949153	0.009353079	0.272848566	0.409090909	0.999797735
68	COR-L105	0.046511628	1	0.0625	0.584269663	0.024390244	0	0.316151203	0.166666667	0.1	0.037735849	0.201117318	0.03125	1	0.054054054	0.02739726	0.037735849	0.044776119	0.024390244	0.316151203	1	0.047058824
69	COR-L23	0.133333333	0.26	1	0.999771115	0.074102368	0.05	0.133707865	0.004282044	0.141676505	0.167074963	0.26	0.165781084	0.091138531	0.055555556	0	0.133333333	0.0625	0.074102368	0.141676505	0.26	0.071428571
72	Daoy	0.138888889	0.284287012	0.173427992	0.194621938	0.012718601	0	0.251231527	0	0.249457701	0.041666667	0.270833333	0.284287012	0.245153221	0.272727273	0	0.017257683	0.083333333	0.012718601	0.251231527	0.284287012	0
73	DBTRG-05MG	0.058823529	1	0	0.615384615	1	0	0.238095238	0.071428571	0	0.054054054	0.195121951	0	0.328358209	0.081632653	0	0.05	0	1	0.238095238	0.328358209	0.070175439
74	DEL	0.2	0.338983051	0	0.4375	0	0.111111111	0.338983051	0.166666667	0	0.115384615	0.214285714	0	0.25	0.2	0	0.08	0.111111111	0.111111111	0.338983051	0.25	0.08
75	Detroit562	0.54248366	0.737226277	0.140977444	0.088617886	0.737226277	0	0.184357542	0.007787151	0.142857143	0.166666667	0.54248366	0.165786695	0.087905237	0.125	0	0	0.00751073	0.737226277	0.184357542	0.54248366	0.111111111
76	DK-MG	0	0.36	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0.083333333	0	0	0.36	0.083333333	0.133333333
77	DMS-114	0.008704062	0.244274809	0.145647558	0.456389925	0.057567917	0.006187693	0.244274809	0	0.154155496	0.03279849	0.214285714	0.221269297	0.124139994	0.032195333	0.142857143	0.125	0	0.057567917	0.244274809	0.221269297	0.142857143
78	DOHH-2	0	0.324324324	0.181818182	0.380952381	0	0.166666667	0.279069767	0	0.075	0.086956522	0.324324324	0.076923077	0.157894737	0	0.090909091	0.095238095	0.166666667	0.166666667	0.279069767	0.324324324	0.071428571
79	DOV13	0.086956522	0.404761905	0.055555556	0.75	0	0	0.185185185	0	0.133333333	0.066666667	0.296296296	0.086956522	0.404761905	0.133333333	0.090909091	0.076923077	0	0	0.185185185	0.404761905	0.089285714
80	DU-145	0.037395397	0.268498943	0.166338583	0.214686248	0.054568528	0	0.268498943	0.092902481	0.268343816	0.037395397	0.163782696	0.160150892	0.234103132	0.105263158	0	0.166666667	0	0.054568528	0.268498943	0.234103132	0.090909091
83	EB2	0	0.307692308	0.105263158	0.466666667	0	0	0.239316239	0.076923077	0.064516129	0.060606061	0.277777778	0.307692308	0.223529412	0.1	0	0.086956522	0	0	0.239316239	0.307692308	0.074074074
84	EBC-1	0.095238095	0.214285714	0.094539527	0.165120594	0.007575758	0	0.154334554	0.009324009	0.084291188	0.214285714	0.150943396	0.015936255	0.059354088	0.133333333	0	0.105263158	0	0.007575758	0.154334554	0.150943396	0
86	EFM-19	0.023173804	0.999203822	0.168081494	0.999352122	0.023173804	0.00516055	0.180981595	0.111111111	0.173410405	0.999203822	0.24137931	0.197217676	0.137015401	0	0.015154795	0.223288709	0	0.023173804	0.180981595	0.24137931	0.006489147
87	EFO-21	0.130434783	0.565113501	0.05398619	0.210238095	0.03553719	0	0.169730942	0	0.565113501	0.085714286	0.1015625	0.153846154	0	0.095238095	0	0.086956522	0.130434783	0.03553719	0.565113501	0.153846154	0
88	EFO-27	0	0.592829706	0.181818182	0.215997981	0	0	0.181818182	0.153846154	0.071641791	0.592829706	0.069758224	0.183628319	0.146227789	0.005218526	0	0	0	0	0.181818182	0.183628319	0.166666667
89	EM-2	0	0.607142857	0.166666667	0	0	0.2	0.133333333	0	0.0625	0	0.111111111	0	0.181818182	0	0	0.607142857	0	0.2	0.133333333	0.607142857	1
90	EN	0.032786885	0.692307692	0.036363636	0.544117647	0	0	0.692307692	0	0.1	0.032786885	0.294117647	0.025	0.282051282	0.032786885	0	0.054054054	0	0	0.692307692	0.294117647	0.033898305
91	ES-2	0.1	0.263104326	0.181818182	0.177882107	0.005306319	0.083868665	0.176651306	0.05810736	0.155148096	0.153846154	0.176470588	0.263104326	0.161290323	0.095238095	0	0.1	0.007748298	0.083868665	0.176651306	0.263104326	0.060606061
92	ESS-1	0.016326531	0.999562363	0.214747736	0.249492901	0.067251462	0	0.999562363	0.006052142	0.188277087	0	0.181818182	0.2275018	0.252333634	0	0	0.013781431	0	0.067251462	0.999562363	0.252333634	0
94	FADU	0.095238095	0.245758604	0.173630455	0.345532831	0	0	0.245758604	0.105263158	0.183144246	0.142857143	0.133651551	0.12755716	0.178490352	0.08	0	0.095238095	0.005914567	0	0.245758604	0.178490352	0.181818182
95	FU97	0.043478261	0.99970006	0.09527097	0.204667864	0.094594595	0	0.99970006	0	0.137634409	0.024691358	0.101265823	0.172368421	0.200984651	0.023809524	0	0.043478261	0	0.094594595	0.99970006	0.200984651	0.853181077
96	FU-OV-1	0.022222222	0.279730209	0.184037559	0.166666667	0.081703107	0.065789474	0.146568521	0.025	0.181818182	0.047619048	0.136125654	0.279730209	0.110614819	0.022727273	0	0.103225806	0.033333333	0.081703107	0.181818182	0.279730209	0.033333333
97	G-361	0.013975155	0.25	0.147749511	0.209361486	0.084367246	0	0.192539388	0.006102212	0.152143845	0.00733945	0.127272727	0.1972873	0.214391035	0.25	0	0.147058824	0	0.084367246	0.192539388	0.25	0.093023256
98	G-401	0	0.292172457	0.180945347	0.160194175	0.088088643	0	0.227966102	0.07066213	0.133333333	0.148148148	0.195121951	0.292172457	0.142220808	0.115384615	0	0.1	0	0.088088643	0.227966102	0.292172457	0.1875
99	G-402	0.009512485	0.191798942	0.082706767	0.192978088	0.006329114	0	0.183168317	0.024734982	0.165829146	0.08	0.166666667	0.191798942	0.156369601	0.111111111	0	0.133333333	0.105263158	0.006329114	0.183168317	0.191798942	0.133333333
100	GAMG	0.008577555	0.227120067	0.116504854	0.185659411	0.096774194	0	0.167213115	0.029096478	0.222222222	0.043478261	0.227120067	0.172077922	0.113643459	0.034482759	0	0	0	0.096774194	0.222222222	0.227120067	0.032786885
101	GB-1	0.019277108	0.997110523	0.110887097	0.219846228	0	0.181818182	0.630742049	0.018957346	0.130136986	0.997110523	0.245535714	0.00968523	0.093990755	0.044444444	0	0.034482759	0	0.181818182	0.630742049	0.245535714	0.0625
102	GCIY	0.060606061	0.599573257	0.122960605	0.164903846	0.135135135	0	0.233292584	0.018604651	0.17611026	0.006896552	0.130453198	0.227132975	0.197312961	0.599573257	0	0.074733096	0	0.135135135	0.233292584	0.599573257	1
103	GCT	0	0.166666667	0	1	0	0	0.071428571	0	0	0	0.166666667	0	0	0	0	0.086956522	0	0	0.071428571	0.166666667	0.235294118
104	GI-1	0.142857143	0.998688811	0.115879828	0.130108639	0	0	0.13622142	0.018853103	0.125	0.1	0.136732329	0.098173516	0	0.031222123	0	0.142857143	0.998688811	0	0.13622142	0.998688811	0
106	GMS-10	0	0.291666667	0	0.4	0.034482759	0	0.262626263	0	0	0.027027027	0.192307692	0.174418605	0.291666667	0	0	0.048780488	0	0.034482759	0.262626263	0.291666667	0.038461538
107	GRANTA-519	0	0.173913043	0	0	0	0	0.173913043	0	0	0	0.166666667	0	0	0	0	0	0	0	0.173913043	0.166666667	0.166666667
108	H4	0.012137931	0.155511811	0.212516297	0.164414989	0	0	0.155511811	0.02119883	0.012030075	0.053228857	0.123989218	0.154082259	0.070660147	0.112705392	0	0.006009929	0	0	0.155511811	0.154082259	0.005524862
109	HARA	0.146317829	0.20389049	0.11381619	0.844056707	0.07079646	0	0.181948424	0	0.172951886	0.068181818	0.170731707	0.20389049	0.151429469	0	0	0.046511628	0	0.07079646	0.181948424	0.20389049	0.006137184
110	HCC1187	0.041666667	0.910541065	0.526467204	0.184585174	0.181818182	0.0625	0.228971963	0.057142857	0.158415842	0.02970297	0.144927536	0.142250531	0.101461737	0	0	0.719343144	0.910541065	0.181818182	0.228971963	0.910541065	0.201724588
111	HCC1395	0	0.533333333	0	0.818181818	0	0.181818182	0.205128205	0	0.117647059	0	0.25	0.533333333	0.25	0	0	0	0	0.181818182	0.205128205	0.533333333	0.095238095
112	HCC-15	0.010876659	0.999074288	0.174748399	0.239958805	0.076148268	0.137913989	0.178655383	0	0.185672515	0.999074288	0.167346939	0.175787728	0.230769231	0.006441224	0	0.153846154	0	0.137913989	0.185672515	0.230769231	0.117647059
113	HCC1569	0.056367432	0.25	0.294811321	0.328154876	0	0	0.203488372	0	0.25	0.058823529	0.189189189	0.187989556	0.1044866	0.142857143	0	0.077944325	0	0	0.25	0.189189189	0.166666667
114	HCC1806	0	0.255319149	0	0.5	0	0	0.255319149	0	0	0	0.153846154	0.090909091	0.166666667	0.045454545	0	0.073170732	0	0	0.255319149	0.166666667	0
115	HCC1954	0.071428571	0.310452418	0.106382979	0.166285278	0.047619048	0	0.142793594	0.071428571	0.16091954	0.175666667	0.181818182	0.310452418	0.127574547	0.211530219	0.134011874	0.037037037	0.027777778	0.047619048	0.16091954	0.310452418	0
118	HCC-44	0.035087719	0.998679287	0.099578059	0.172687676	0.074182243	0	0.187662902	0.998679287	0.214285714	0.023809524	0.220588235	0.189237668	0.132553076	0.095890411	0.041666667	0.854553302	0	0.074182243	0.998679287	0.854553302	0.019417476
119	HCC-56	0	0.384615385	0	0	0	0	0.384615385	0	0	0	0	0	0	0	0	0.125	0	0	0.384615385	0.125	0.105263158
120	HCC70	0.071428571	0.960092095	0.202247191	0.418459552	0.106824926	0	0.960092095	0.006329114	0.159183673	0.05	0.2	0.177083333	0.111909037	0.243902439	0.169487894	0.071428571	0.096774194	0.106824926	0.960092095	0.243902439	0.24137931
122	HCC-827	0.468125147	0.76963232	0.153249273	0.154688244	0.032786885	0	0.133290951	0.109464839	0.119373777	0.76963232	0.333508957	0.155555556	0.104269082	0.048192771	0	0.508672852	0	0.032786885	0.133290951	0.508672852	0.061538462
123	HCT-116	0.25	0.5	0.161139896	0.378644453	0.5	0	0.233585859	0.045013477	0.19389313	0.08	0.279069767	0.263120567	0.458333333	0.473684211	0	0.109090909	0	0.5	0.233585859	0.473684211	0.392857143
124	HCT-15	0.397157191	1	0.285714286	0.212899843	0.08496732	0	0.197969543	1	0.388888889	0	0.2	0.397157191	0.181075562	0.294117647	0	0.230769231	0.05	0.08496732	1	0.397157191	0.428571429
125	HD-MY-Z	0.058823529	0.274611399	0.105263158	0.594202899	0.12	0.136842105	0.274611399	0.08	0.054054054	0.071428571	0.198275862	0.055555556	0.217948718	0.181818182	0	0.050847458	0.024691358	0.136842105	0.274611399	0.217948718	0.05
126	HDQ-P1	0.057592975	0.999306037	0.105577689	0.18680203	0.091811414	0.228571429	0.261648746	0.006828057	0.064	0.028985507	0.125	0.333333333	0.999306037	0.003460208	0	0.022613612	0.003430532	0.228571429	0.261648746	0.999306037	1
128	HEC-1-A	0.013636364	0.999763258	0.498582952	0.113513514	0.013527575	0	0.173634204	0	0	0	0.999763258	0.135817308	0.086411609	0	0	0.005400098	0	0.013527575	0.173634204	0.999763258	0
134	HEL-92-1-7	0.01986755	0.187237615	0.22875817	0.226943264	0.014693172	0	0.157664905	0	0.143712575	0	0.099372385	0.187237615	0.133407449	0	0	0	0	0.014693172	0.157664905	0.187237615	0
135	HEL	0.01986755	0.187237615	0.22875817	0.228401192	0.014693172	0.133333333	0.157489236	0.166666667	0.143712575	0.090909091	0.099372385	0.187237615	0.133832086	0.086956522	0.125	0.12	0.086956522	0.133333333	0.166666667	0.187237615	0
137	Hep-G2	0.010165184	0.202034884	0.113095238	0.257804632	0.071496663	0	0.199124726	0.005545287	0.159922929	0	0.097938144	0.202034884	0.112810156	0	0	0.006779661	0	0.071496663	0.199124726	0.202034884	0.005454545
139	Hey	0	0.324324324	0	0.727272727	0	0	0.324324324	0	0	0.103448276	0.076923077	0.166666667	0.208333333	0.105263158	0	0.083333333	0	0	0.324324324	0.208333333	0.125
140	HGC-27	0.05	0.996838778	0.158179848	0.999422132	0.073646209	0	0.196277496	0	0.4	0.162162162	0.996838778	0.16010101	0.217670437	0.663909447	0	0.107142857	0.054054054	0.073646209	0.4	0.996838778	0.999575552
141	HH	0	0.228070175	0	0.357142857	0.08	0	0.149425287	0.057142857	0	0.125	0.228070175	0	0.2	0	0	0.04040404	0	0.08	0.149425287	0.228070175	0.029850746
142	HLE	0	1	0	0.818181818	0	0	0	0	0	0.1	0	0	0	0	0	1	0	0	0	1	1
146	HOS	0.044444444	0.302325581	0	0.542857143	0	0	0.302325581	0	0	0.044444444	0.157142857	0.142857143	0.272727273	0.04	0	0	0.074074074	0	0.302325581	0.272727273	0
147	HPAC	0.007698888	0.99655914	0.164031621	0.168171558	0.113345521	0	0.156382979	0.058246475	0.153424658	0.034482759	0.115621156	0.191702432	0.090682196	0	0.99655914	0.02079646	0	0.113345521	0.156382979	0.191702432	0.011144131
148	HPAF-II	0	0.954545455	0	0	0	0	0.25	0	0	0	0	0	0	0.954545455	0	0.235294118	0	0	0.25	0.954545455	0
150	Hs-294-T	0.084511785	0.27124183	0.745182013	0.197996309	0	0.007278609	0.27124183	0	0.239520958	0.084511785	0.143494424	0.174231332	0.136853746	0	0	0.007402267	0	0.007278609	0.27124183	0.174231332	0.245810056
151	Hs-578-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153846154
153	Hs683	0	0.363636364	0.066666667	0.682926829	0	0.114285714	0.29	0.166666667	0.111111111	0.085714286	0.185714286	0	0.363636364	0	0	0.048780488	0.057142857	0.114285714	0.29	0.363636364	0.135135135
157	Hs-746T	0.442110405	0.442110405	1	0.187673655	0.01248227	0	0.180828402	0	0.442110405	0.014460784	0.11793166	0.197260274	0.150196434	0	0	0	0	0.01248227	0.442110405	0.197260274	0
158	Hs746T	0.442110405	0.5	1	0.222222222	0.01248227	0	0.180898612	0.5	0.442110405	0.057142857	0.11793166	0.235294118	0.150196434	0.235294118	0	0.15	0.066666667	0.01248227	0.5	0.235294118	0.206896552
160	Hs766T	0.41025641	0.909090909	0.8125	0.133333333	0	0	0.311111111	0.909090909	0	0.142857143	0.1875	0	0.363636364	0	0	0.41025641	0	0	0.909090909	0.41025641	0.066666667
166	Hs939-T	0	0.35	0.958333333	0	0	0	0.212121212	0	0.142857143	0	0.166666667	0	0.35	0.125	0	0	0	0	0.212121212	0.35	0.090909091
167	Hs-944-T	0.14985451	0.21031746	0.122352941	0.146467251	0.004568818	0	0.174216028	0.013285024	0.21031746	0	0.135815991	0.210290828	0.114841986	0.14985451	0	0.015280136	0	0.004568818	0.21031746	0.210290828	0
169	HT	0.363636364	0.363636364	0	0.266666667	0	0	0.363636364	0	0	0.157894737	0.166666667	0	0	0	0	0.258064516	0	0	0.363636364	0.258064516	0.1
170	HT-1080	0.428571429	0.428571429	0.064516129	0.655172414	0	0.428571429	0.329411765	0	0	0.048780488	0.045454545	0.210526316	0.219512195	0.048780488	0	0.084745763	0	0.428571429	0.329411765	0.219512195	0.105263158
171	HT-1197	0.647482014	0.991150442	0.048387097	0.594594595	0	0	0.203125	0	0	0.054545455	0.176470588	0.991150442	0.220779221	0.066666667	0	0.502673797	0.647482014	0	0.203125	0.991150442	0.040816327
172	HT-1376	0.1875	0.251968504	0.315175097	0.181818182	0.019417476	0.235294118	0.162601626	0	0.251968504	0.111111111	0.166666667	0.226452906	0.130224107	0.1875	0	0.095238095	0	0.235294118	0.251968504	0.226452906	0.166666667
173	HT-144	0.068464244	0.230046948	0.242038217	0.154907975	0.072727273	0	0.230046948	0.04742345	0.183333333	0	0.115056818	0.211751663	0.128597122	0.068464244	0	0.105263158	0	0.072727273	0.230046948	0.211751663	0
174	HT-29	0.00874036	0.573105893	0.183972912	0.266666667	0.0795053	0	0.245149912	0.01627907	0.573105893	0.004595588	0.388888889	0.256537102	0.223248882	0.339622642	0	0.378707393	0	0.0795053	0.573105893	0.388888889	0.151515152
175	HuCCT1	0	0.4	0.133333333	0.526315789	0	0	0.3	0	0	0.057142857	0.166666667	0	0.4	0	0	0.058823529	0	0	0.3	0.4	0.409090909
176	huH-1	0	0.275862069	0	0.066666667	0.1	0	0.125	0	0.105263158	0.044444444	0.15	0.117647059	0.275862069	0	0	0	0	0.1	0.125	0.275862069	0
